iter	Passed	Remaining
876	101322	14210
877	101363	14084
878	101407	13959
879	101447	13833
880	101493	13709
881	101538	13584
882	101579	13459
883	101622	13335
884	101630	13206
885	101674	13082
886	101679	12953
887	101717	12829
888	101769	12706
889	101808	12583
890	101847	12459
891	101886	12336
892	101924	12212
893	101965	12089
894	102000	11966
21
891	114724	13890
892	114829	13758
893	114979	13632
894	115098	13503
895	115220	13373
896	115350	13245
897	115483	13117
898	115581	12985
899	115709	12856
900	115824	12726
901	115956	12598
902	116082	12469
903	116243	12344
904	116354	12213
905	116452	12082
906	116613	11957
907	116741	11828
908	116868	11699
909	116982	11569
910	117106	11440
911	117251	11313
912	117368	11184
913	117505	11056
914	117618	10926
915	117754	10798
916	117870	10668
917	117906	10531
918	117947	10395
919	118060	10266
920	118156	10135
921	118299	10007
922	118467	9883
923	118569	9752
924	118699	9624
925	118863	9498
926	118961	9368
927	119096	9240
928	119241	9113
929	119377	8985
930	119504	8856
931	119628	8728
932	119749	8599
933	119862	8469
934	120037	8344
935	120176	8217
936	120295	8088
937	120402	7958
938	120541	7830
939	120663	7701
940	120771	7572
941	120908	7444
942	121039	7316
943	121127	7185
944	121275	7058
945	121417	6930
946	121537	6802
947	121703	6675
948	121865	6549
949	121999	6421
950	122151	6293
951	122285	6165
952	122363	6034
953	122460	5904
954	122600	5776
955	122709	5647
956	122830	5519
957	122926	5389
958	123046	5260
959	123225	5134
960	123373	5006
961	123489	4877
962	123607	4749
963	123757	4621
964	123853	4492
965	123944	4362
966	124080	4234
967	124221	4106
968	124322	3977
969	124423	3848
970	124501	3718
971	124650	3590
972	124790	3462
973	124915	3334
974	125075	3207
975	125180	3078
976	125288	2949
977	125388	2820
978	125493	2691
979	125586	2562
980	125687	2434
981	125796	2305
982	125947	2178
983	126119	2050
984	126256	1922
985	126354	1794
986	126437	1665
987	126504	1536
988	126582	1407
989	126645	1279
990	126719	1150
991	126803	1022
992	126872	894
993	126971	766
994	127045	638
995	127122	510
996	127208	382
997	127279	255
998	127354	127
999	127445	0
999	132324	0
553	401
997	133705	267
998	133861	133
999	134014	0
